Title;Year;Rank;Rating;tconst;titleType;primaryTitle;originalTitle;isAdult;startYear;runtimeMinutes;genres
Everything Everywhere All at Once;2022;182;8.1;tt6710474;movie;Everything Everywhere All at Once;Everything Everywhere All at Once;0.0;2022.0;139;Action,Adventure,Comedy
12 Years a Slave;2013;183;8.1;tt2024544;movie;12 Years a Slave;12 Years a Slave;0.0;2013.0;134;Biography,Drama,History
Wild Strawberries;1957;184;8.1;tt0050986;movie;Wild Strawberries;Smultronstället;0.0;1957.0;91;Drama,Romance
The General;1926;185;8.1;tt0017925;movie;The General;The General;0.0;1926.0;67;Action,Adventure,Comedy
Gone Girl;2014;186;8.1;tt2267998;movie;Gone Girl;Gone Girl;0.0;2014.0;149;Drama,Mystery,Thriller
Harry Potter and the Deathly Hallows: Part 2;2011;187;8.1;tt1201607;movie;Harry Potter and the Deathly Hallows: Part 2;Harry Potter and the Deathly Hallows: Part 2;0.0;2011.0;130;Adventure,Fantasy,Mystery
The Deer Hunter;1978;188;8.1;tt0077416;movie;The Deer Hunter;The Deer Hunter;0.0;1978.0;183;Drama,War
In the Name of the Father;1993;189;8.1;tt0107207;movie;In the Name of the Father;In the Name of the Father;0.0;1993.0;133;Biography,Crime,Drama
The Grand Budapest Hotel;2014;190;8.1;tt2278388;movie;The Grand Budapest Hotel;The Grand Budapest Hotel;0.0;2014.0;99;Adventure,Comedy,Crime
Barry Lyndon;1975;191;8.1;tt0072684;movie;Barry Lyndon;Barry Lyndon;0.0;1975.0;185;Adventure,Drama,War
Mr. Smith Goes to Washington;1939;192;8.1;tt0031679;movie;Mr. Smith Goes to Washington;Mr. Smith Goes to Washington;0.0;1939.0;129;Comedy,Drama
The Wages of Fear;1953;193;8.1;tt0046268;movie;The Wages of Fear;Le salaire de la peur;0.0;1953.0;131;Adventure,Drama,Thriller
Sherlock Jr.;1924;194;8.1;tt0015324;movie;Sherlock Jr.;Sherlock Jr.;0.0;1924.0;45;Action,Comedy,Romance
Hacksaw Ridge;2016;195;8.1;tt2119532;movie;Hacksaw Ridge;Hacksaw Ridge;0.0;2016.0;139;Biography,Drama,History
Memories of Murder;2003;196;8.1;tt0353969;movie;Memories of Murder;Salinui chueok;0.0;2003.0;131;Crime,Drama,Mystery
Klaus;2019;197;8.1;tt4729430;movie;Klaus;Klaus;0.0;2019.0;96;Adventure,Animation,Comedy
Wild Tales;2014;198;8.1;tt3011894;movie;Wild Tales;Relatos salvajes;0.0;2014.0;122;Comedy,Drama,Thriller
The Seventh Seal;1957;199;8.1;tt0050976;movie;The Seventh Seal;Det sjunde inseglet;0.0;1957.0;96;Drama,Fantasy
Room;2015;200;8.1;tt3170832;movie;Room;Room;0.0;2015.0;118;Drama,Thriller
Mad Max: Fury Road;2015;201;8.1;tt1392190;movie;Mad Max: Fury Road;Mad Max: Fury Road;0.0;2015.0;120;Action,Adventure,Sci-Fi
How to Train Your Dragon;2010;202;8.1;tt0892769;movie;How to Train Your Dragon;How to Train Your Dragon;0.0;2010.0;98;Action,Adventure,Animation
The Big Lebowski;1998;203;8.1;tt0118715;movie;The Big Lebowski;The Big Lebowski;0.0;1998.0;117;Comedy,Crime
Mary and Max;2009;204;8.1;tt0978762;movie;Mary and Max;Mary and Max.;0.0;2009.0;92;Animation,Comedy,Drama
